time;e1;e2;e3;e4;e5;e6;e7;e8
0.07001;2.840659;2.601313;2.538725;2.420285;2.885177;2.030467;2.031452;2.025867
0.07101;2.840659;2.601806;2.538068;2.420449;2.885506;2.030795;2.031781;2.026196
0.07201;2.839674;2.596057;2.538068;2.419299;2.884685;2.029645;2.030795;2.025539
0.07301;2.840166;2.598192;2.538725;2.419956;2.884849;2.030138;2.031288;2.025867
0.07401;2.839674;2.600163;2.538561;2.419792;2.88452;2.030302;2.030795;2.025374
0.07501;2.840166;2.595892;2.538397;2.42012;2.885013;2.030302;2.031288;2.025539
0.07601;2.840166;2.595399;2.53774;2.419792;2.884849;2.029974;2.03096;2.02521
0.07701;2.840166;2.597864;2.538397;2.419956;2.885013;2.030631;2.030795;2.025703
0.07801;2.840659;2.599999;2.53889;2.420613;2.885506;2.031124;2.031452;2.026196
0.07901;2.840331;2.597042;2.538725;2.419956;2.884849;2.030467;2.03096;2.025539
0.08001;2.840166;2.599506;2.538561;2.419956;2.885013;2.030631;2.030631;2.025867
0.08101;2.840331;2.601478;2.538068;2.419628;2.885013;2.030631;2.030631;2.02521
0.08201;2.840166;2.60312;2.538561;2.42012;2.885013;2.03096;2.031124;2.025867
0.08301;2.840331;2.593592;2.537904;2.419792;2.884685;2.030467;2.030302;2.02521
0.08401;2.840002;2.596221;2.53774;2.419956;2.884685;2.030467;2.030138;2.025539
0.08501;2.840988;2.598685;2.539054;2.420613;2.885506;2.03096;2.030795;2.025703
0.08601;2.840166;2.599178;2.538232;2.419956;2.884849;2.030467;2.030302;2.025703
0.08701;2.839838;2.595564;2.53889;2.42012;2.885013;2.030795;2.030138;2.025703
0.08801;2.839509;2.597699;2.539054;2.419792;2.884849;2.030467;2.030302;2.025374
0.08901;2.839509;2.599999;2.538561;2.420285;2.884849;2.03096;2.030467;2.026196
0.09001;2.840002;2.600328;2.537411;2.419956;2.885013;2.030795;2.030467;2.025867
0.09101;2.840002;2.594085;2.538397;2.419792;2.884356;2.030467;2.02981;2.025539
0.09201;2.839838;2.597042;2.538232;2.42012;2.884849;2.030795;2.030138;2.025867
0.09301;2.838852;2.598521;2.538397;2.419956;2.884685;2.030795;2.02981;2.025703
0.09401;2.839181;2.598849;2.538068;2.42012;2.885013;2.030795;2.030138;2.025867
0.09501;2.839838;2.594414;2.53774;2.419792;2.884849;2.030302;2.029974;2.025374
